"plant" "nectar_holder_depth_mm" "pollinator" "IT_mm"
"329" "Sonchus_tenerrinus" 1.08 "Halictus_pyrenaicus" 2.08
"330" "Sonchus_tenerrinus" 1.08 "Lasioglossum??_sp" 1.56
"331" "Sonchus_tenerrinus" 1.08 "Andrena_sp" 1.83
"332" "Sonchus_tenerrinus" 1.08 "Colletes_sp" 1.82
"333" "Sonchus_tenerrinus" 1.08 "Lasioglossum_sp" 1.37
"334" "Sonchus_tenerrinus" 1.08 "Lasioglossum_sp" 1
"335" "Sonchus_tenerrinus" 1.08 "Lasioglossum_sp" 1.26
"336" "Thymelaea_hirusta" 1 "Lasioglossum_sp" 1.39
"337" "Thymelaea_hirusta" 1 "Andrena_agilissima" 2.7
"338" "Thymelaea_hirusta" 1 "Bombus_terrestris" 6.58
"339" "Thymelaea_hirusta" 1 "Apis_mellifera" 2.68
"340" "Thymelaea_hirusta" 1 "Andrena_agilissima" 2.31
"341" "Urospermum_picroides" 1 "Panurgus_sp" 1.49
"342" "Urospermum_picroides" 1 "Panurgus_banksianus" 2.34
"343" "Urospermum_picroides" 1 "Andrena_cinerea" 2.22
"344" "Urospermum_picroides" 1 "Halictus_pyrenaicus" 2.28
"345" "Urospermum_picroides" 1 "Panurgus_sp" 1.35
"346" "Urospermum_picroides" 1 "Panurgus_sp" 1.65
"347" "Urospermum_picroides" 1 "Panurgus_sp" 1.67
"348" "Urospermum_picroides" 1 "Panurgus_sp" 1.6
"349" "Urospermum_picroides" 1 "Panurgus_banksianus" 2.07
